Homonym,Synonym,Meaning 1,Meaning 2
address,speech,"a formal speech","a physical location"
affect,influence,"to have an effect on","an emotional state"
air,broadcast,"to broadcast on TV or radio","the atmosphere we breathe"
arm,weaponize,"to supply with weapons","a part of the body"
balance,stability,"a state of equilibrium","a device for weighing"
band,group,"a musical group","a ring or loop"
bank,shore,"the land alongside a river","a financial institution"
bar,block,"to obstruct or block","a place that serves drinks"
bark,yelp,"the sound a dog makes","the outer layer of a tree"
bat,club,"a piece of sporting equipment","a nocturnal flying mammal"
bear,carry,"to carry or support","a large mammal"
bill,invoice,"a request for payment","a bird's beak"
block,obstruct,"to get in the way of","a cube-shaped object"
board,plank,"a flat piece of wood","to get on a ship or plane"
bolt,flee,"to run away suddenly","a type of fastener"
bow,bend,"to bend the head or body","a weapon for shooting arrows"
box,spar,"to fight with fists","a type of container"
brief,short,"lasting a short time","a legal document"
buckle,bend,"to bend or collapse","a clasp for a belt"
calf,muscle,"the back muscle of the lower leg","a young cow"
can,tin,"a metal container","to be able to do something"
case,lawsuit,"a legal action","a container or box"
cell,cubicle,"a small room","the basic unit of a living organism"
center,middle,"the middle point","a large public building"
change,alter,"to make different","money in coins"
check,verify,"to examine for accuracy","a pattern of squares"
chest,torso,"the upper part of the torso","a large storage box"
chip,fragment,"a small piece broken off","a thin slice of fried potato"
circular,letter,"an advertisement sent to many people","shaped like a circle"
class,category,"a category of things","a group of students"
clip,trim,"to cut or trim","a small metal fastener"
close,near,"nearby in proximity","to shut an opening"
club,association,"a group of people with a common interest","a heavy stick or bat"
cocktail,mixture,"a mixed drink","the tail of a rooster"
column,pillar,"a vertical support pillar","a section of text in a newspaper"
commence,begin,"to start","to graduate"
compact,dense,"small and dense","a formal agreement"
conduct,behavior,"a person's actions","to lead or guide"
console,comfort,"to give comfort to someone","a panel for electronic controls"
content,satisfied,"in a state of satisfaction","the material within something"
contract,shrink,"to become smaller","a legal agreement"
cool,chilly,"at a low temperature","stylish or fashionable"
count,tally,"to determine the total number","a nobleman"
court,woo,"to try and win favor","a place where legal cases are heard"
cover,conceal,"to put something over another thing","the front of a book"
crane,hoist,"a machine for lifting heavy things","a tall, long-legged bird"
cricket,insect,"a jumping insect","a bat-and-ball game"
cross,intersect,"to pass from one side to the other","a symbol of Christianity"
current,flow,"a body of moving water or air","happening right now"
date,meeting,"a social engagement","a specific day of the month"
deal,transact,"to distribute cards or business","an agreement or arrangement"
deck,platform,"the floor of a ship","a pack of playing cards"
decline,refuse,"to politely say no","a decrease or downward slope"
desert,abandon,"to leave a person or place","a dry, barren area of land"
die,expire,"to cease living","a cube with dots for gaming"
digest,summary,"a summary of information","to break down food in the body"
down,feathers,"soft feathers","in a lower position"
draw,sketch,"to produce a picture","a tied score in a game"
dress,attire,"to put on clothes","to apply a bandage to a wound"
drill,practice,"to practice or rehearse","a tool for making holes"
drop,release,"to let something fall","a small round mass of liquid"
duck,crouch,"to lower the head or body quickly","a water bird"
dull,blunt,"not sharp","boring or uninteresting"
dumb,stupid,"lacking intelligence","unable to speak"
dust,sprinkle,"to sprinkle with a powder","fine, dry powder"
engage,involve,"to occupy or involve","to promise to marry"
entrance,entry,"a point of entry","to fill with delight or wonder"
even,level,"flat and smooth","a number divisible by two"
excuse,pardon,"to forgive an offense","a reason for an action"
express,state,"to convey a thought or feeling","rapid or fast"
fair,just,"impartial and just","a public festival or exposition"
fall,drop,"to move downward","the season of autumn"
fan,admirer,"an enthusiastic admirer","a device for creating a breeze"
fast,rapid,"moving quickly","to abstain from food"
file,folder,"a collection of documents","a tool for smoothing surfaces"
fill,occupy,"to make full","a type of dental restoration"
fine,excellent,"of high quality","a sum of money as penalty"
fire,dismiss,"to dismiss from a job","combustion producing heat and light"
firm,solid,"unyielding or stable","a business company"
fit,suitable,"appropriate for a purpose","a sudden convulsion or seizure"
fix,repair,"to mend something broken","to fasten securely in place"
flat,smooth,"having a level surface","an apartment"
flock,crowd,"a group of birds or sheep","a soft, textured material"
fluke,chance,"a lucky chance occurrence","the fin of a whale's tail"
fly,pilot,"to operate an aircraft","a winged insect"
foot,base,"the lower part of something","a unit of measurement"
forge,fake,"to create a fraudulent copy","a place where metal is heated and hammered"
founder,sink,"to fill with water and sink","a person who establishes something"
game,quarry,"wild animals hunted for sport","a form of play or sport"
grade,score,"a mark indicating quality","a level in school"
grave,serious,"giving cause for alarm","a place of burial"
groom,tend,"to look after the appearance of","a man about to be married"
ground,earth,"the solid surface of the earth","to crush into a powder"
hamper,hinder,"to obstruct or impede","a laundry basket"
hard,difficult,"not easy to do","solid and firm"
hide,conceal,"to put out of sight","the skin of an animal"
hit,strike,"to bring one's hand or a tool into contact with","a success"
hold,contain,"to keep or contain","the cargo area of a ship"
hop,jump,"to jump on one foot","a type of climbing plant"
host,presenter,"a person who presents an event","a large number of people"
interest,curiosity,"a feeling of wanting to know","money paid for a loan"
iron,press,"to press clothes with a hot appliance","a strong, hard metal"
issue,topic,"an important topic for debate","to supply or distribute"
jam,wedge,"to push something forcefully into a space","a sweet spread made from fruit"
jar,jolt,"to send a painful shock through","a glass container"
jest,joke,"a thing said or done for amusement","to speak in a playful way"
junk,discard,"to throw away","an old Chinese sailing ship"
key,crucial,"of crucial importance","a device for operating a lock"
kind,type,"a class or category","having a friendly nature"
kite,soar,"a toy for flying in the wind","a type of bird of prey"
lap,circuit,"one circuit of a track","to drink a liquid with the tongue"
last,endure,"to continue for a specified time","coming after all others"
lead,guide,"to show the way","a heavy, soft metal"
leaves,departs,"to go away from","the flat green parts of a plant"
left,remaining,"situated on the west side of the body","what is remaining"
letter,character,"a character representing a sound","a written message sent by post"
lie,recline,"to be in a horizontal position","to tell an untruth"
light,bright,"illumination from a source","not heavy"
like,enjoy,"to find pleasant","similar to"
lime,fruit,"a green citrus fruit","a white substance used in cement"
line,row,"a long, narrow mark","a queue of people"
litter,trash,"rubbish left in an open place","a group of young animals born at one time"
loaf,lounge,"to spend time idly","a quantity of bread baked in one piece"
log,record,"an official record of events","a part of the trunk of a tree"
long,yearn,"to have a strong desire for something","measuring a great distance"
lounge,relax,"to lie or sit in a relaxed way","a public waiting room"
mail,post,"letters and packages","a type of armor"
match,contest,"a competitive game or sport","a stick for starting a fire"
mean,unkind,"not kind to others","the average value"
meet,converge,"to come together","a sporting competition"
mine,excavate,"to dig for ore","belonging to me"
minute,tiny,"extremely small","a period of 60 seconds"
miss,overlook,"to fail to notice","a title for an unmarried woman"
mole,spy,"a person who leaks secret information","a small burrowing mammal"
moped,brooded,"past tense of mope","a low-powered motorcycle"
nail,fasten,"a small metal spike","a hard covering on a finger or toe"
net,final,"remaining after deductions","a mesh-like barrier"
novel,book,"a long fictional book","new or unusual"
number,quantity,"an arithmetical value","more numb"
object,protest,"to say something to express disapproval","a material thing"
organ,instrument,"a musical instrument with pipes","a part of an organism with a specific function"
overlook,ignore,"to fail to notice","to have a view from above"
page,summon,"to call someone's name over a system","a sheet of paper in a book"
palm,conceal,"to hide in one's hand","the inner surface of the hand"
park,position,"to place a vehicle in a location","a public area of land"
pass,ticket,"an admission ticket","to move past something"
paste,glue,"a soft, moist substance for sticking","to hit someone hard"
patient,enduring,"able to accept delays","a person receiving medical care"
pen,enclosure,"a small enclosure for animals","a writing instrument"
period,era,"a length of time","a punctuation mark"
pine,yearn,"to miss and long for","a type of evergreen tree"
plain,simple,"not decorated or elaborate","a large area of flat land"
plant,factory,"a place where things are manufactured","a living organism like a tree or flower"
plot,conspiracy,"a secret plan to do something harmful","a small piece of land"
plaster,cover,"to cover a wall","a medical dressing"
pool,combine,"to combine resources","a small body of still water"
port,harbor,"a town with a harbor","the left side of a ship"
post,position,"a job or position","a vertical support"
pound,strike,"to hit or strike with force","a unit of weight or currency"
practice,rehearse,"to perform an activity repeatedly","a doctor's or lawyer's business"
press,push,"to apply pressure","the news media"
produce,create,"to make or manufacture","fresh fruits and vegetables"
punch,hit,"to strike with the fist","a drink made from a mixture of beverages"
pupil,student,"a person studying at school","the opening in the center of the eye"
quail,flinch,"to feel or show fear","a small, short-tailed bird"
quarry,prey,"an animal pursued by a hunter","a place where stone is extracted"
quarter,district,"a part of a town","one of four equal parts"
racket,noise,"a loud, unpleasant noise","equipment for tennis or badminton"
refuse,decline,"to indicate unwillingness to do something","matter thrown away as worthless"
rent,lease,"to pay for the use of something","a tear in a piece of fabric"
rest,remainder,"the remaining part","to cease work or movement"
resume,continue,"to begin again after a pause","a summary of work experience"
right,correct,"factually correct","a direction opposite of left"
ring,circle,"a circular band worn on a finger","a sound made by a bell"
rock,stone,"a large stone","a genre of popular music"
rose,blossom,"a type of flower","past tense of 'to rise'"
row,line,"a number of people or things in a line","an angry dispute"
ruler,leader,"a person who governs","a tool used for measuring"
sack,dismiss,"to dismiss from employment","a large bag made of strong material"
saw,tool,"a tool for cutting wood","past tense of 'to see'"
scale,climb,"to climb up or over","a device for weighing"
seal,close,"to fasten or close securely","a sea mammal"
season,flavor,"to add salt, herbs, or spices","a time of year"
second,endorse,"to formally support a motion","a unit of time"
sewer,drain,"an underground conduit for sewage","a person who sews"
shed,discard,"to cast off skin or hair","a simple roofed structure"
ship,transport,"to send goods from one place to another","a large boat for water travel"
shop,inform,"to inform on someone","a place for retail selling"
sign,indicate,"a gesture or action to convey information","to write one's name"
sink,submerge,"to go down below the surface","a basin in a kitchen or bathroom"
slip,slide,"to lose one's footing and slide","a small piece of paper"
sole,only,"one and only","the undersurface of a person's foot"
sound,healthy,"in good condition","vibrations that travel through the air"
space,gap,"a continuous area that is free or unoccupied","the region beyond the Earth's atmosphere"
spell,period,"a period of time","to write or name the letters that form a word"
spring,leap,"to jump suddenly","the season after winter"
stable,steady,"not likely to give way or overturn","a building where horses are kept"
stalk,follow,"to secretly follow someone","the main stem of a plant"
stamp,stomp,"to bring down one's foot heavily","a small adhesive piece of paper for postage"
steer,guide,"to guide the course of a vehicle","a young male bovine"
