sent1,sent2
"What is your name?","Please tell me your name."
"The dog chased the cat.","The cat was chased by the dog."
"I need to go to the store.","It is necessary for me to go to the store."
"She is very intelligent.","She possesses great intelligence."
"How much does this cost?","What is the price of this item?"
"Because it was raining, we canceled the picnic.","We canceled the picnic due to the rain."
"He is the man who owns the company.","He is the company's owner."
"I suggest you apologize.","My suggestion is that you should apologize."
"You must finish your homework.","You have to finish your homework."
"I haven't seen her for three years.","It has been three years since I last saw her."
"This book belongs to Sarah.","This is Sarah's book."
"He is likely to win the election.","There is a high probability that he will win the election."
"I can't solve this problem.","I am unable to solve this problem."
"I remember locking the door.","I did not forget to lock the door."
"The meeting will start at 9 AM.","The commencement of the meeting is at 9 AM."
"She is a talented singer.","She has a great talent for singing."
"If you don't study, you will fail.","You will fail unless you study."
"He arrived late because of the traffic.","The traffic caused him to arrive late."
"Where is the nearest post office?","Could you tell me where the nearest post office is?"
"The movie was very boring.","I found the movie to be extremely dull."
"Shakespeare wrote 'Hamlet'.","'Hamlet' was written by Shakespeare."
"She prefers tea to coffee.","She would rather have tea than coffee."
"He succeeded because he worked hard.","His hard work led to his success."
"Let's go for a walk.","How about we go for a walk?"
"This coffee is too hot to drink.","This coffee is so hot that I can't drink it."
"I have no idea what to do.","I don't know what I should do."
"The last time I saw him was in Paris.","I haven't seen him since I was in Paris."
"No one is taller than him.","He is the tallest person."
"It's not a good idea to skip breakfast.","You shouldn't skip breakfast."
"The company employs over 500 people.","Over 500 people are employed by the company."
"She looked sad.","There was a look of sadness on her face."
"I regret not telling the truth.","I wish I had told the truth."
"He ran as fast as he could.","He ran at his maximum speed."
"This task is difficult.","This task is not easy."
"I'm looking forward to meeting you.","I am excited about the prospect of meeting you."
"Despite being rich, he is not happy.","Although he is rich, he is not happy."
"Whose car is this?","Who does this car belong to?"
"It's a six-hour drive from here.","The drive from here takes six hours."
"He is always on time.","He is never late."
"To see is to believe.","Seeing is believing."
"The performance was amazing.","The performance was truly impressive."
"She had no choice but to accept the offer.","She was forced to accept the offer."
"There are many advantages to this plan.","This plan has many advantages."
"I was surprised by his reaction.","His reaction took me by surprise."
"He is responsible for the error.","The error is his responsibility."
"It's possible that she forgot.","She might have forgotten."
"He is old enough to vote.","He has reached the age where he can vote."
"Can you help me?","I was wondering if you could give me a hand."
"The house was completely destroyed by the fire.","The fire completely destroyed the house."
"What is the reason for your visit?","Why are you visiting?"
