word,meaning1,synonym1,meaning2,synonym2
bank,a financial institution,lender,edge of a river,shore
bark,sound a dog makes,woof,outer layer of a tree,rind
bat,flying mammal,N/A,sports equipment,gear
spring,a season,N/A,coil of metal,helix
date,specific day,N/A,romantic meeting,rendezvous
seal,marine animal,creature,close tightly,seal
tire,become weary,fatigue,rubber on a wheel,tyre
match,contest,competition,fire-starting stick,matchstick
light,illumination,light,not heavy,lightweight
rock,stone,pebble,music genre,rock
