homonym,meaning1,meaning2,synonym
address,to speak to,a location,lecture
air,the invisible gaseous substance,a simple tune,atmosphere
angle,a corner,a point of view,perspective
arm,a limb of the body,a weapon,appendage
back,the rear surface of the human body,to support something,posterior
bail,to remove water from a boat,money for temporary release from jail,scoop
ball,a spherical object used in games,a formal dance,sphere
band,a musical group,a strip of material,orchestra
bank,a financial institution,the side of a river,treasury
bar,a long piece of rigid material,a place where drinks are served,rod
bark,the sound a dog makes,the outer layer of a tree,yap
base,the bottom support of something,a military headquarters,foundation
bat,a piece of sports equipment,a flying mammal,cudgel
batter,a mixture for cooking,a player who hits a ball,dough
beam,a long sturdy piece of wood or metal,a ray of light,girder
bear,to carry or support,a large mammal,endure
beat,to strike repeatedly,a rhythmic pulse in music,thump
bed,a piece of furniture for sleeping,a plot of ground for plants,cot
berth,a fixed bed on a ship or train,a ship's allotted place at a wharf,bunk
bill,a statement of money owed,the beak of a bird,invoice
bit,a small piece,a tool for drilling,morsel
blade,the cutting edge of a tool,a long narrow leaf of grass,edge
blind,unable to see,a screen for a window,sightless
block,a solid piece of material,to obstruct,cube
blow,to move air,a hard strike,exhale
blue,a color,feeling sad,azure
bluff,an attempt to deceive,a steep cliff,hoax
board,a flat piece of wood,to get on a vehicle,plank
bolt,a fastener,to run away quickly,screw
bore,to make a hole,to make someone feel uninterested,drill
bound,to leap or jump,tied up,hop
bow,to bend at the waist,a weapon for shooting arrows,curtsy
bowl,a round dish,to roll a ball in a game,basin
box,a container,to fight with fists,carton
brace,a device that supports,to prepare for an impact,support
break,to separate into pieces,a pause from work,shatter
bridge,a structure built over a river,a card game,span
bright,giving out or reflecting light,intelligent,shining
buckle,a clasp for a belt,to bend under pressure,fastener
bug,an insect,a listening device,pest
bull,a male bovine animal,an investor who expects stock prices to rise,ox
bust,a sculpture of a person's head and shoulders,to break,statue
butt,to hit with the head,the end of a rifle,ram
cable,a thick strong rope,a set of wires for electricity or internet,wire
calf,a young bovine animal,the back of the lower leg,veal
can,a metal container,to be able to,tin
capital,the most important city in a country,wealth in the form of money,metropolis
case,a container,a particular situation,lawsuit
cast,to throw something,a group of actors,hurl
catch,to intercept a moving object,a hidden problem,snag
cell,a small room in a prison,the basic unit of a living organism,cubicle
change,to make different,coins,alter
charge,to demand an amount as a price,to accuse someone of something,levy
charm,the power of delighting,a small ornament on a bracelet,allure
check,to examine,a pattern of squares,inspect
chest,a part of the body,a large storage box,thorax
chop,to cut with an axe,a small cut of meat,hew
class,a group of students,a category of things,grade
clear,easy to understand,transparent,lucid
cleave,to split apart,to stick fast to,sever
clip,to fasten,a short video segment,fastener
close,near to,to shut,nearby
coat,an outer garment,a layer of paint,jacket
