word,meaning1,synonym1,meaning2,synonym2
bank,a financial institution,lender,edge of a river,shore
bark,sound a dog makes,woof,outer layer of a tree,rind
bat,flying mammal,N/A,sports implement,club
bow,front of a ship,prow,weapon for arrows,arc
spring,a season,N/A,coil of metal,helix
date,specific day,N/A,romantic meeting,rendezvous
seal,marine animal,N/A,close tightly,shut
tire,become weary,fatigue,rubber on a wheel,tyre
match,contest,bout,fire-starting stick,matchstick
light,illumination,glow,not heavy,slight
rock,stone,stone,music genre,rock
well,in good health,fit,water source,spring
jam,fruit spread,preserve,traffic blockage,gridlock
ring,circular band,band,sound of a bell,chime
watch,to observe,view,wrist timepiece,watch
park,public green space,park,bring vehicle to stop,park
fair,just or equitable,just,festival,carnival
nail,metal fastener,spike,fingernail,nail
wave,hand gesture,salute,moving ridge of water,breaker
fly,move through air,soar,a type of insect,gnat
right,correct,accurate,opposite of left,starboard
current,flow of water,stream,up-to-date,modern
row,line of things,line,argument,quarrel
plane,aircraft,airliner,flat surface,level
point,sharp tip,prong,specific location,spot
lead,to guide,direct,metal element,Pb
mine,excavation for ore,pit,belonging to me,N/A
yard,measure of length,metre,land by a house,garden
draw,to sketch,sketch,pull something,tug
club,association,society,heavy stick,cudgel
letter,alphabet character,glyph,written message,note
order,command,decree,arrangement,sequence
bowl,round dish,basin,throw in cricket/baseball,pitch
train,rail transport,railway,teach,coach
trip,journey,tour,stumble,tumble
file,collection of documents,dossier,smooth metal tool,rasp
change,coins,coins,alteration,shift
port,harbour,harbor,computer socket,jack
deck,ship’s floor,floor,set of playing cards,pack
draft,preliminary version,sketch,air current,breeze
log,wood piece,timber,record of events,journal
clip,fastener,clasp,short video,snippet
break,fracture,crack,pause in activity,interval
crane,large bird,heron,construction machine,hoist
pitch,throw a ball,hurl,black tar,tar
pound,unit of weight,lb,strike repeatedly,pummel
tie,fasten with string,bind,draw in a contest,deadlock
mole,small burrowing animal,talpa,skin spot,nevus
net,mesh fabric,mesh,final amount after deductions,after
block,solid piece,chunk,city section,district
screen,display surface,monitor,hide from view,shield
bridge,structure over gap,span,dental appliance,denture
stage,performance area,platform,phase of process,phase
case,container,box,situation,instance
post,mail,mail,position in job,role
check,inspect,inspect,bank payment slip,cheque
scale,measuring instrument,gauge,fish covering,scute
filet,cut of meat,steak,boneless fish portion,loin
frame,support structure,chassis,entrap,ensnare
bore,drill a hole,drill,tiring person,dullard
host,party giver,giver,organism’s carrier,vector
mark,visible sign,blot,high grade,distinction
beat,defeat,best,rhythmic pulse,tempo
note,musical tone,tone,short message,memo
capital,seat of government,metropolis,money for investment,funds
volume,amount of space,capacity,book in series,tome
pitcher,jug,ewer,baseball player,hurler
cell,small room,chamber,basic biological unit,unit
bass,deep sound,low,a fish,perch
key,answer to puzzle,solution,button on keyboard,keycap
panel,flat section,slab,discussion group,forum
chest,upper body,torso,storage box,coffer
can,metal container,tin,be able to,may
press,newspapers,media,apply pressure,squeeze
rocker,chair type,glider,rock musician,bopper
stamp,ink imprint,mark,bring foot down hard,stomp
bolt,fastener,screw,sudden run,dash
fold,bend material,crease,group of animals,flock
pad,soft cushion,cushion,notebook,tablet
lot,parcel of land,plot,many items,many
lap,upper thighs,thighs,complete circuit,circuit
race,competition,contest,ethnic group,people
pool,small body of water,pond,shared resource,commons
shore,land by water,coast,support physically,prop
clipper,sailing ship,schooner,hair-cutting tool,trimmer
mint,herb plant,mint,place to make coins,mint
saw,cutting tool,saw,past tense of see,saw
line,continuous mark,stroke,queue,queue
band,musical group,group,strip of material,strap
chip,small piece,flake,crispy snack,crisp
coach,trainer,tutor,passenger vehicle,bus
boom,loud sound,bang,sudden growth,upswing
drill,boring tool,auger,practice exercise,practice
shade,shadowed area,shadow,tint of a colour,hue
tap,light hit,rap,draw liquid,spigot
board,flat piece,plank,group of officials,council
crust,bread’s outer part,rind,hardened surface,scab
layer,stratum,tier,person who lays,setter
sink,basin,basin,descend,drop
banker,finance worker,financier,billiards shot,carom
cellar,basement,basement,wine storage,store
horn,animal projection,antler,musical instrument,trumpet
nut,edible seed,kernel,crazy person,maniac
pin,fastening device,peg,bowling target,skittle
pot,cooking vessel,pan,marijuana,cannabis
puff,short breath,huff,fluffy portion,tuft
rack,storage frame,shelf,extort,squeeze
reel,spool for winding,spool,lose control,stagger
sling,strap support,strap,throw with force,hurl
snap,break suddenly,crack,short photo,shot
spike,sharp point,spike,sudden rise,surge
spot,small mark,dot,locate,find
stack,pile of items,pile,chimney section,flue
stall,booth for selling,booth,stop suddenly,halt
stampede,panicked rush,rush,sudden surge,spike
staple,metal fastener,staple,basic food,staple
star,famous person,celebrity,celestial body,sun
stem,plant stalk,stalk,stop something,halt
stint,period of work,spell,restrict,limit
stock,stored goods,inventory,company shares,equity
stream,small river,brook,continuous flow,flux
strike,hit something,smack,work stoppage,walkout
string,thin cord,cord,sequence of items,series
strip,long narrow piece,band,remove covering,peel
tank,large container,vat,military vehicle,armour
teller,bank clerk,cashier,story narrator,raconteur
tip,advice,hint,pointed end,point
trap,device for catching,snare,difficult situation,jam
tray,flat shallow container,pan,set of data,array
trunk,tree main stem,bole,vehicle storage,boot
tune,musical piece,song,adjust,calibrate
turn,change direction,swerve,opportunity,chance
type,category,class,person with traits,sort
vault,arched structure,arch,jump over,leap
yardman,gardener,gardener,rail yard worker,switchman
zip,close with zipper,zipper,zero energy,nil
zone,area,area,restrict,limit
bowel,intestine,gut,inner part,core
bug,insect,bug,software error,fault
button,shirt fastener,stud,call bell,buzzer
cane,walking stick,stick,sugar plant,reed
cap,head covering,hat,limit,ceiling
charge,ask a price,bill,rush forward,charge
chill,coldness,cold,relax,unwind
