Meaning 1,Meaning 2,Def1
"Bank, a financial institution","Bank, a side of a river","a business where people keep their money, borrow money, etc., or the building where such a business operates"
"Bat, a flying mammal","Bat, sports equipment","an animal that has wings and a furry body like a mouse"
"Bark, the sound a dog makes","Bark, the outer layer of a tree","the short, loud sound made by a dog"
"Spring, a season","Spring, a coil","the season between winter and summer, the season when plants and trees begin to grow"
"Jam, a fruit preserve","Jam, traffic congestion","a sweet food made of fruit and sugar thickened by boiling"
"Right, correct","Right, a direction","morally or socially correct or acceptable"
"Light, illumination","Light, not heavy","the form of energy that makes it possible to see things; the brightness produced by the sun, by fire, by a lamp, etc."
"Match, a competition","Match, something used to start a fire","a contest in which people or teams compete against each other in a particular sport"
"Watch, to observe","Watch, a timepiece worn on the wrist","to look at (someone or something) for an amount of time and pay attention to what is happening"
"Rock, a stone","Rock, a music genre","the solid mineral material forming part of the surface of the earth and other similar planets, exposed on the surface or underlying the soil"
"Ring, a piece of jewelry","Ring, the sound of a bell","a piece of jewelry that is worn usually on a finger"
"Seal, a marine animal","Seal, to close securely","a large animal that lives in the sea near coasts, has flippers, and eats fish"
"Current, the flow of water","Current, present time","a continuous movement of water or air in the same direction"
"File, a folder for documents","File, to smooth with a tool","a folder or box for holding loose papers together and in order for easy reference"
"Nail, a fastener","Nail, a part of a finger or toe","a long, thin piece of metal that is sharp at one end and flat at the other end and that is used chiefly to attach things to wood"
"Can, a container","Can, to be able to","a closed metal container that is usually shaped like a cylinder and that holds food or drink"
"Well, a water source","Well, in good health","a deep hole made in the ground through which water can be removed"
"Point, a sharp tip","Point, a specific location","the tapered, sharp end of a tool, weapon, or other object"
"Trip, a journey","Trip, to stumble or fall","a journey to a place"
"Row, a line of items","Row, to propel a boat","a straight line of people or things that are next to each other"
