Word,Synonym
happy,joyful
sad,unhappy
fast,quick
slow,sluggish
big,large
small,tiny
smart,intelligent
dumb,stupid
easy,simple
hard,difficult
rich,wealthy
poor,needy
beautiful,gorgeous
ugly,unattractive
loud,noisy
quiet,silent
hot,warm
cold,chilly
bright,luminous
dark,dim
angry,furious
calm,peaceful
old,ancient
young,youthful
tired,exhausted
energetic,lively
hungry,starving
thirsty,parched
wet,soaked
dry,arid
funny,humorous
serious,solemn
strong,powerful
weak,feeble
brave,courageous
scared,frightened
clean,spotless
dirty,filthy
early,premature
late,tardy
near,close
far,distant
right,correct
wrong,incorrect
cheap,inexpensive
expensive,costly
begin,start
end,finish
win,triumph
lose,fail
open,unlock
close,shut
love,adore
hate,despise
friend,companion
enemy,foe
teacher,instructor
student,pupil
book,volume
car,automobile
house,home
job,occupation
work,labour
rest,relax
speak,talk
listen,hear
run,sprint
walk,stroll
jump,leap
sit,perch
stand,rise
look,glance
see,view
watch,observe
buy,purchase
sell,vend
help,assist
hurt,injure
fix,repair
break,shatter
push,shove
pull,drag
cut,slice
join,unite
split,divide
mix,blend
cook,prepare
eat,consume
drink,sip
sing,chant
dance,sway
draw,sketch
write,compose
read,peruse
think,ponder
know,understand
choose,select
try,attempt
change,alter
keep,retain
