word,meaning1,synonym1,meaning2,synonym2
bank,a financial institution,lender,edge of a river,shore
bark,sound a dog makes,woof,outer layer of a tree,rind
bat,flying mammal,N/A,sports equipment,gear
spring,a season,N/A,coil of metal,helix
date,specific day,N/A,romantic meeting,rendezvous
seal,marine animal,creature,close tightly,seal
tire,become weary,fatigue,rubber on a wheel,tyre
match,contest,competition,fire-starting stick,matchstick
light,illumination,light,not heavy,lightweight
rock,stone,pebble,music genre,rock
well,in good health,well,water source,spring
jam,fruit spread,preserve,traffic blockage,gridlock
ring,circular band,loop,sound of a bell,chime
watch,to observe,watch,wrist timepiece,watch
park,public green space,park,bring vehicle to stop,park
fair,just or equitable,fair,carnival,festival
nail,metal fastener,spike,fingernail,nail
wave,hand gesture,wave,water ridge,breaker
fly,to travel in air,fly,insect,bug
right,correct,accurate,opposite of left,right
